Department1,Department2,Author1,Author2,Project
OVPR,OVPR,Jonathan Rupp,Carol Flannagan,Improving Trauma Triage Models for Motor Vehicle Crashe
Medicine,Pharmacy,Ronald Buckanovich,Scott Larsen,ALDH inhibitors as cancer differentiation therapy
Engineer,Medicine,Euisik Yoon,Ronald Buckanovich,ALDH inhibitors as cancer differentiation therapy
Engineer,Pharmacy,Euisik Yoon,Scott Larsen,ALDH inhibitors as cancer differentiation therapy
Medicine,Medicine,W. Michael King,Susan Shore,Interactions between hearing and balance
LSA:SocSci,Medicine,Wayne Aldridge,Susan Shore,Interactions between hearing and balance
LSA:SocSci,Medicine,Wayne Aldridge,W. Michael King,Interactions between hearing and balance
Engineer,Engineer,Xiaoqing Pan,Emmanouil (Manos)  Kioupakis,Structure-Property Relationships of Novel Oxides for
Engineer,LSA:NatSci,Emmanouil (Manos)  Kioupakis,Bart Bartlett,Structure-Property Relationships of Novel Oxides for
Engineer,LSA:NatSci,Xiaoqing Pan,Bart Bartlett,Structure-Property Relationships of Novel Oxides for
Medicine,PubHealth,David Hanauer,Kai Zheng,Mining Social Media Data for the Patterns of Spatiotemporal
Info,PubHealth,Qiaozhu Mei,Kai Zheng,Mining Social Media Data for the Patterns of Spatiotemporal
Info,Medicine,Qiaozhu Mei,David Hanauer,Mining Social Media Data for the Patterns of Spatiotemporal
Medicine,Medicine,Fan Meng,Joyce  Lee,Compelling Data Visualizations for Health
Medicine,PubHealth,Joyce  Lee,Karen Eileen Peterson,Compelling Data Visualizations for Health
Medicine,PubHealth,Fan Meng,Karen Eileen Peterson,Compelling Data Visualizations for Health
LSA:Hum,NatResEnv,Peter McIsaac,Ines Ibanez,Digital Humanities Approaches to Popular Periodicals:
Engineer,LSA:Hum,Sugih Jamin,Peter McIsaac,Digital Humanities Approaches to Popular Periodicals:
Engineer,NatResEnv,Sugih Jamin,Ines Ibanez,Digital Humanities Approaches to Popular Periodicals:
Info,LSA:SocSci,Eytan  Adar,Colleen Seifert,Addressing Individual and Group Biases with Data Visualizatio
Info,LSA:SocSci,Eytan  Adar,Priti Shah,Addressing Individual and Group Biases with Data Visualizatio
LSA:SocSci,LSA:SocSci,Priti Shah,Colleen Seifert,Addressing Individual and Group Biases with Data Visualizatio
LSA:NatSci,Medicine,Raoul Kopelman,Pedro Lowenstein,Targeted Nanoparticle Based Medicine: Inhibiting glioma
Engineer,LSA:NatSci,Robert M. Ziff,Raoul Kopelman,Targeted Nanoparticle Based Medicine: Inhibiting glioma
Engineer,Medicine,Robert M. Ziff,Pedro Lowenstein,Targeted Nanoparticle Based Medicine: Inhibiting glioma
LSA:SocSci,Medicine,Maureen Devlin,Karl Jepsen,"Bone, Exercise and Energy"
Kines,Medicine,Katarina Borer,Karl Jepsen,"Bone, Exercise and Energy"
Kines,LSA:SocSci,Katarina Borer,Maureen Devlin,"Bone, Exercise and Energy"
Dentistry,Medicine,Jacques E. Nör,Qiao Li,Development of a cancer stem cell vaccine
Medicine,Medicine,Mark Prince,Qiao Li,Development of a cancer stem cell vaccine
Dentistry,Medicine,Jacques E. Nör,Mark Prince,Development of a cancer stem cell vaccine
Medicine,Medicine,Cheong-Hee  Chang,Daniel Couriel,Extracellular Matrix  (ECM) Turnover in Chronic GVH
Medicine,PubHealth,Daniel Couriel,Thomas Braun,Extracellular Matrix  (ECM) Turnover in Chronic GVH
Medicine,PubHealth,Cheong-Hee  Chang,Thomas Braun,Extracellular Matrix  (ECM) Turnover in Chronic GVH
Kines,LSA:SocSci,Kathryn Heinze,Sara Soderstrom,Emergence of locally-owned food business in Detroi
Business,LSA:SocSci,Wayne Baker,Sara Soderstrom,Emergence of locally-owned food business in Detroi
Business,Kines,Wayne Baker,Kathryn Heinze,Emergence of locally-owned food business in Detroi
Medicine,Medicine,Jeffrey Martens,Benjamin Allen,Hedgehog pathway cancer therapy and taste and smell
Dentistry,Medicine,Robert M. Bradley,Benjamin Allen,Hedgehog pathway cancer therapy and taste and smell
Dentistry,Medicine,Robert M. Bradley,Jeffrey Martens,Hedgehog pathway cancer therapy and taste and smell
Engineer,Pharmacy,Satinder Singh Baveja,Karen Farris,Adaptive Health Communications over Mobile Device
Engineer,Medicine,Satinder Singh Baveja,John Piette,Adaptive Health Communications over Mobile Device
Medicine,Pharmacy,John Piette,Karen Farris,Adaptive Health Communications over Mobile Device
Engineer,Medicine,Andre Boehman,Ann Marie LeVine,Potential health effects of soot nanoparticles from
Engineer,Medicine,Andre Boehman,Cory Hogaboam,Potential health effects of soot nanoparticles from
Medicine,Medicine,Cory Hogaboam,Ann Marie LeVine,Potential health effects of soot nanoparticles from
Dentistry,Medicine,Jian-Guo Geng,Jason Spence,Investigating intestinal function and disease
Medicine,Medicine,Linda Samuelson,Jason Spence,Investigating intestinal function and disease
Dentistry,Medicine,Jian-Guo Geng,Linda Samuelson,Investigating intestinal function and disease
Medicine,NatResEnv,Sara Warber,MaryCarol Hunter,A “nature pill” for healthy ageing in urban area
NatResEnv,OVPR,MaryCarol Hunter,Brenda Gillespie,A “nature pill” for healthy ageing in urban area
Medicine,OVPR,Sara Warber,Brenda Gillespie,A “nature pill” for healthy ageing in urban area
Engineer,Medicine,Karl Grosh,Yehoash Raphael,Enhancing hearing restoration by improving the condition
Medicine,Medicine,Bryan Pfingst,Yehoash Raphael,Enhancing hearing restoration by improving the condition
Engineer,Medicine,Karl Grosh,Bryan Pfingst,Enhancing hearing restoration by improving the condition
LSA:NatSci,Medicine,Nils Walter,Georgios Skiniotis,DNA origami scaffolds for single-particle EM visualization
Medicine,Medicine,Roger Sunahara,Georgios Skiniotis,DNA origami scaffolds for single-particle EM visualization
LSA:NatSci,Medicine,Nils Walter,Roger Sunahara,DNA origami scaffolds for single-particle EM visualization
Medicine,Medicine,Robert Wessells,Jun Hee Lee,A pill that mimics exercise? Exploiting Sestrins as
LSA:NatSci,Medicine,Catherine Collins,Jun Hee Lee,A pill that mimics exercise? Exploiting Sestrins as
LSA:NatSci,Medicine,Catherine Collins,Robert Wessells,A pill that mimics exercise? Exploiting Sestrins as
Engineer,Medicine,Anouck Girard,Josephine Kasa-Vubu,Drone technology for classification of bone age X-ray
Engineer,Medicine,Anouck Girard,Michael DiPietro,Drone technology for classification of bone age X-ray
Medicine,Medicine,Michael DiPietro,Josephine Kasa-Vubu,Drone technology for classification of bone age X-ray
ISR,LSA:NatSci,Inbal Nahum-Shani,Susan A. Murphy,Methodology for Developing Real-Time Mobile Phone
LSA:NatSci,LSA:NatSci,Ambuj Tewari,Susan A. Murphy,Methodology for Developing Real-Time Mobile Phone
ISR,LSA:NatSci,Inbal Nahum-Shani,Ambuj Tewari,Methodology for Developing Real-Time Mobile Phone
Dentistry,Medicine,Jan Hu,James Cavalcoli,Proteomics and Genetics of Tooth Defects
Dentistry,Medicine,Jan Hu,Yang Zhang,Proteomics and Genetics of Tooth Defects
Medicine,Medicine,Yang Zhang,James Cavalcoli,Proteomics and Genetics of Tooth Defects
NatResEnv,PubHealth,Joan Nassauer,Amy Jo Schulz,Physical Environments of Post-Industrial Cities
Law,NatResEnv,Alicia Alvarez,Joan Nassauer,Physical Environments of Post-Industrial Cities
Law,PubHealth,Alicia Alvarez,Amy Jo Schulz,Physical Environments of Post-Industrial Cities
Engineer,Engineer,Jwo Pan,Ralph T. Yang,Carbon Capture and Storage
Engineer,ISR,Ralph T. Yang,Yu Xie,Carbon Capture and Storage
Engineer,ISR,Jwo Pan,Yu Xie,Carbon Capture and Storage
Medicine,Medicine,David  Musch,Silvana Papagerakis,Antacid medications as anticancer agents improve patients
Engineer,Medicine,Nikos Chronis,Silvana Papagerakis,Antacid medications as anticancer agents improve patients
Engineer,Medicine,Nikos Chronis,David  Musch,Antacid medications as anticancer agents improve patients
Engineer,Engineer,Michael J. Cafarella,Donald Siegel,Data-Mining for Optimal Metal-Organic Frameworks
Engineer,LSA:NatSci,Donald Siegel,Antek Wong-Foy,Data-Mining for Optimal Metal-Organic Frameworks
Engineer,LSA:NatSci,Michael J. Cafarella,Antek Wong-Foy,Data-Mining for Optimal Metal-Organic Frameworks
Medicine,Medicine,Naheed Khan,K. Thiran Jayasundera,Computer model to help patients find the genes linked
Engineer,Medicine,A Harvey Bell IV,K. Thiran Jayasundera,Computer model to help patients find the genes linked
Engineer,Medicine,A Harvey Bell IV,Naheed Khan,Computer model to help patients find the genes linked
LSA:NatSci,LSA:NatSci,Kyger Lohmann,Clara Castro,Hydraulic Fracturing of Shales: Water Contamination
Engineer,LSA:NatSci,Avery H. Demond,Clara Castro,Hydraulic Fracturing of Shales: Water Contamination
Engineer,LSA:NatSci,Avery H. Demond,Kyger Lohmann,Hydraulic Fracturing of Shales: Water Contamination
Engineer,LSA:NatSci,Anthony Grbic,Hui Deng,Reconfigurable graphene beams for microscopy and micromanipulatio
Engineer,Engineer,John Hart,Anthony Grbic,Reconfigurable graphene beams for microscopy and micromanipulatio
Engineer,LSA:NatSci,John Hart,Hui Deng,Reconfigurable graphene beams for microscopy and micromanipulatio
Engineer,NatResEnv,Xiaoxia Lin,Bradley Cardinale,Algal biofuel and biodiversity
Engineer,LSA:NatSci,Xiaoxia Lin,Vincent Denef,Algal biofuel and biodiversity
