Department1,Department2,Author1,Author2,Project
LSA:Hum,LSA:SocSci,Silke Weineck,Elizabeth Wingrove,Engaging Translation
LSA:Hum,LSA:Hum,Yopie Prins,Silke Weineck,Engaging Translation
LSA:Hum,LSA:SocSci,Yopie Prins,Elizabeth Wingrove,Engaging Translation
LSA:NatSci,LSA:SocSci,Bob Kennedy,Joshua Berke,Microdialysis of Striatal Modulators during Adaptive
LSA:SocSci,LSA:SocSci,Brandon Aragona,Joshua Berke,Microdialysis of Striatal Modulators during Adaptive
LSA:NatSci,LSA:SocSci,Bob Kennedy,Brandon Aragona,Microdialysis of Striatal Modulators during Adaptive
Engineer,Kines,C. David Remy,Deanna Gates,Reducing effort through an augmented lower limb prosthese
Engineer,Kines,Art Kuo,Deanna Gates,Reducing effort through an augmented lower limb prosthese
Engineer,Engineer,Art Kuo,C. David Remy,Reducing effort through an augmented lower limb prosthese
Engineer,Engineer,Laura Kathryn Balzano,Branko Kerkez,"A mathematical, scientific and measurement framework"
Engineer,Graham Institute,Branko Kerkez,Don Scavia,"A mathematical, scientific and measurement framework"
Engineer,Graham Institute,Laura Kathryn Balzano,Don Scavia,"A mathematical, scientific and measurement framework"
LSA:Hum,LSA:SocSci,"William ""Buzz"" Alexander",Ashley Lucas,Prison Creative Arts Project Image Archive
LSA:SocSci,LSA:SocSci,Charlie Bright,Ashley Lucas,Prison Creative Arts Project Image Archive
LSA:Hum,LSA:SocSci,"William ""Buzz"" Alexander",Charlie Bright,Prison Creative Arts Project Image Archive
Engineer,Info,Prabal Dutta,Douglas Van Houweling,National Infrastructure for Sensor Networking
Engineer,Info,Mingyan Liu,Douglas Van Houweling,National Infrastructure for Sensor Networking
Engineer,Engineer,Mingyan Liu,Prabal Dutta,National Infrastructure for Sensor Networking
Nursing,Pharmacy,Patricia Abbott,James Stevenson,Enabling Patient-Centered Care With Advanced Mobile
Engineer,Nursing,Robert Dick,Patricia Abbott,Enabling Patient-Centered Care With Advanced Mobile
Engineer,Pharmacy,Robert Dick,James Stevenson,Enabling Patient-Centered Care With Advanced Mobile
LSA:Hum,LSA:SocSci,Marlyse Baptista,Ken Kollman,"Modeling linguistic convergence, divergence and innovation"
LSA:Hum,LSA:NatSci,Marlyse Baptista,Jihno Baik,"Modeling linguistic convergence, divergence and innovation"
LSA:NatSci,LSA:SocSci,Jihno Baik,Ken Kollman,"Modeling linguistic convergence, divergence and innovation"
LSA:SocSci,PubHealth,Ashley Gearhardt,Peter  Song,Maternal Feeding Project Team 3
Kines,LSA:SocSci,Dale Ulrich,Ashley Gearhardt,Maternal Feeding Project Team 3
Kines,PubHealth,Dale Ulrich,Peter  Song,Maternal Feeding Project Team 3
NatResEnv,PubHealth,Ming Xu,Olivier J. Jolliet,Influence of global trade on the human health impacts
Engineer,PubHealth,Steve Skerlos,Olivier J. Jolliet,Influence of global trade on the human health impacts
Engineer,NatResEnv,Steve Skerlos,Ming Xu,Influence of global trade on the human health impacts
Nursing,PubHealth,Minkyoung Song,Dana Dolinoy,Maternal Feeding Project - Team 2
LSA:SocSci,PubHealth,Kristen Harrison,Dana Dolinoy,Maternal Feeding Project - Team 2
LSA:SocSci,Nursing,Kristen Harrison,Minkyoung Song,Maternal Feeding Project - Team 2
ArchUrban,LSA:Hum,Steven Mankouche,Christopher Ratte,Architectural Revolutions from the Roman Empire to
LSA:Hum,LSA:Hum,Nicola Terrenato,Christopher Ratte,Architectural Revolutions from the Roman Empire to
ArchUrban,LSA:Hum,Steven Mankouche,Nicola Terrenato,Architectural Revolutions from the Roman Empire to
PubHealth,PubHealth,Ana Baylin,Alison Miller,The Maternal Feeding Study - Team 1
LSA:SocSci,PubHealth,Pam Davis-Kean,Alison Miller,The Maternal Feeding Study - Team 1
LSA:SocSci,PubHealth,Pam Davis-Kean,Ana Baylin,The Maternal Feeding Study - Team 1
ArchUrban,PubHealth,Larissa Larsen,Marie Sylvia O'Neill,"Environment, infection, antioxidant vitamins and preterm"
PubHealth,PubHealth,Rita Loch-Caruso,Marie Sylvia O'Neill,"Environment, infection, antioxidant vitamins and preterm"
ArchUrban,PubHealth,Larissa Larsen,Rita Loch-Caruso,"Environment, infection, antioxidant vitamins and preterm"
Dentistry,Dentistry,Theodora Danciu,Alexandre DaSilva,Non-invasive Neuromodulation of the Brain as an Adjuvant
Dentistry,PubHealth,Alexandre DaSilva,Laura Marie Rozek,Non-invasive Neuromodulation of the Brain as an Adjuvant
Dentistry,PubHealth,Theodora Danciu,Laura Marie Rozek,Non-invasive Neuromodulation of the Brain as an Adjuvant
Engineer,LSA:NatSci,Zhen Xu,Wolfgang Lorenzon,Targeted Nanoplatform-enabled Sonodynamic Cardiac
Engineer,Engineer,Xudong (Sherman) Fan,Zhen Xu,Targeted Nanoplatform-enabled Sonodynamic Cardiac
Engineer,LSA:NatSci,Xudong (Sherman) Fan,Wolfgang Lorenzon,Targeted Nanoplatform-enabled Sonodynamic Cardiac
ArchUrban,ArchUrban,Sean Vance,Milton Curry,Active Classroom
ArchUrban,Kines,Milton Curry,Rebecca Hasson,Active Classroom
ArchUrban,Kines,Sean Vance,Rebecca Hasson,Active Classroom
LSA:SocSci,PubPolicy,Jeffrey Smith,Kevin Stange,Does Capacity Constrain Student Success in Higher
LSA:SocSci,PubPolicy,John Bound,Kevin Stange,Does Capacity Constrain Student Success in Higher
LSA:SocSci,LSA:SocSci,John Bound,Jeffrey Smith,Does Capacity Constrain Student Success in Higher
Engineer,Engineer,Peter Green,Jinsang Kim,Conjugated Polymers with Directed Alignment Property
Engineer,LSA:NatSci,Jinsang Kim,Theodore Goodson,Conjugated Polymers with Directed Alignment Property
Engineer,LSA:NatSci,Peter Green,Theodore Goodson,Conjugated Polymers with Directed Alignment Property
LSA:NatSci,LSA:NatSci,Steven Clark,Erik Nielsen,Mechanisms of cytokinesis: A study in plants and animal
LSA:NatSci,LSI,Erik Nielsen,Yukiko Yamiashita,Mechanisms of cytokinesis: A study in plants and animal
LSA:NatSci,LSI,Steven Clark,Yukiko Yamiashita,Mechanisms of cytokinesis: A study in plants and animal
Engineer,Engineer,Richard Robertson,Victor C. Li,Bio-inspired Large Scale Structural Material
Engineer,NatResEnv,Victor C. Li,Maria Carmen Lemos,Bio-inspired Large Scale Structural Material
Engineer,NatResEnv,Richard Robertson,Maria Carmen Lemos,Bio-inspired Large Scale Structural Material
Engineer,Engineer,Jerome Peter Lynch,Amir Mortazawi,Efficient Electromagnetic Energy Harvesting for Wireless
Engineer,OVPR,Amir Mortazawi,James Sayer,Efficient Electromagnetic Energy Harvesting for Wireless
Engineer,OVPR,Jerome Peter Lynch,James Sayer,Efficient Electromagnetic Energy Harvesting for Wireless
Engineer,Engineer,Kira Barton,Jack Hu,3D Printing of Personalized Dental Products
Dentistry,Engineer,Nan E. Hatch,Jack Hu,3D Printing of Personalized Dental Products
Dentistry,Engineer,Nan E. Hatch,Kira Barton,3D Printing of Personalized Dental Products
Pharmacy,Pharmacy,Gregory Amidon,Nair Rodriguez-Hornedo,Prediction and modulation of  cocrystalline drug solubility/dissolution
LSA:NatSci,Pharmacy,Zhan Chen,Nair Rodriguez-Hornedo,Prediction and modulation of  cocrystalline drug solubility/dissolution
LSA:NatSci,Pharmacy,Zhan Chen,Gregory Amidon,Prediction and modulation of  cocrystalline drug solubility/dissolution
Engineer,Engineer,James Barber,Brent Gillespie,The Holy Braille
Engineer,LSA:Hum,Brent Gillespie,Michael Gould,The Holy Braille
Engineer,LSA:Hum,James Barber,Michael Gould,The Holy Braille
ArchUrban,Info,Mary-Ann Ray,Yan Chen,CLOUD: Balloon Platform Rural Internet Provider
ArchUrban,Engineer,Mary-Ann Ray,Aaron Ridley,CLOUD: Balloon Platform Rural Internet Provider
Engineer,Info,Aaron Ridley,Yan Chen,CLOUD: Balloon Platform Rural Internet Provider
LSA:Hum,PubHealth,Alexandra Stern,Sioban D. Harlow,Eugenics and Coerced Sterilization in California:
LSA:Hum,PubHealth,Alexandra Stern,Sharon Reilly  Kardia,Eugenics and Coerced Sterilization in California:
PubHealth,PubHealth,Sharon Reilly  Kardia,Sioban D. Harlow,Eugenics and Coerced Sterilization in California:
LSA:SocSci,Nursing,Sonya Dal Cin,Lisa Kane Low,Clinical and Non-Clinical Factors Influencing the
Nursing,PubHealth,Lisa Kane Low,Scott Greer,Clinical and Non-Clinical Factors Influencing the
LSA:SocSci,PubHealth,Sonya Dal Cin,Scott Greer,Clinical and Non-Clinical Factors Influencing the
Engineer,LSA:NatSci,Duncan Steel,Matthew Chapman,Biophysical Manipulation of Functional Amyloids
LSA:NatSci,LSA:NatSci,Blaise Boles,Matthew Chapman,Biophysical Manipulation of Functional Amyloids
Engineer,LSA:NatSci,Duncan Steel,Blaise Boles,Biophysical Manipulation of Functional Amyloids
Engineer,Engineer,Johannes W. Schwank,Richard Laine,Investigation of Mixed-Metal Oxides and Oxynitride
Engineer,LSA:NatSci,Richard Laine,Dominika Zgid,Investigation of Mixed-Metal Oxides and Oxynitride
Engineer,LSA:NatSci,Johannes W. Schwank,Dominika Zgid,Investigation of Mixed-Metal Oxides and Oxynitride
LSA:Hum,LSA:SocSci,Sara Ahbel-Rappe,Ray Van Dam,Hellenistic Judaisms in their Cultural Contexts
LSA:Hum,LSA:Hum,Gabriele Boccaccini,Sara Ahbel-Rappe,Hellenistic Judaisms in their Cultural Contexts
LSA:Hum,LSA:SocSci,Gabriele Boccaccini,Ray Van Dam,Hellenistic Judaisms in their Cultural Contexts
Engineer,Engineer,Joanna Millunchick,Suljo Linic,Solar Splitting of Water Using Abundant Materials
Engineer,OVPR,Suljo Linic,Mark A. Barteau,Solar Splitting of Water Using Abundant Materials
Engineer,OVPR,Joanna Millunchick,Mark A. Barteau,Solar Splitting of Water Using Abundant Materials
Engineer,Engineer,Kamal Sarabandi,Eric Michielssen,A Fast Surface Integral Equation Solver for the Radiative
Engineer,LSA:NatSci,Eric Michielssen,John Schotland,A Fast Surface Integral Equation Solver for the Radiative
Engineer,LSA:NatSci,Kamal Sarabandi,John Schotland,A Fast Surface Integral Equation Solver for the Radiative
Dentistry,Engineer,Kenichi Kuroda,Joerg Lahann,Anti-Infectious Nanoparticle Scaffolds
Engineer,Engineer,Nicholas Kotov,Joerg Lahann,Anti-Infectious Nanoparticle Scaffolds
Dentistry,Engineer,Kenichi Kuroda,Nicholas Kotov,Anti-Infectious Nanoparticle Scaffolds
PubHealth,PubHealth,Gary W. Harper,Rachel Campbell Snow,Adherence to HIV-Care among Ugandan Adolescents
LSA:SocSci,PubHealth,Robert Wyrod,Rachel Campbell Snow,Adherence to HIV-Care among Ugandan Adolescents
LSA:SocSci,PubHealth,Robert Wyrod,Gary W. Harper,Adherence to HIV-Care among Ugandan Adolescents
Engineer,NatResEnv,Allison L. Steiner,William Currie,"Linking people, forests, and the atmosphere to model"
NatResEnv,NatResEnv,Arun Agrawal,William Currie,"Linking people, forests, and the atmosphere to model"
Engineer,NatResEnv,Allison L. Steiner,Arun Agrawal,"Linking people, forests, and the atmosphere to model"
LSA:NatSci,LSA:NatSci,Richard Hume,Mohammed Akaaboune,Biology of the neuromuscular synapse (connection between
LSA:NatSci,LSI,Mohammed Akaaboune,Gabrielle Rudenko,Biology of the neuromuscular synapse (connection between
LSA:NatSci,LSI,Richard Hume,Gabrielle Rudenko,Biology of the neuromuscular synapse (connection between
Info,LSA:Hum,Dragomir Radev,Christi Merrill,Building Translation Networks at Michigan
LSA:Hum,LSA:Hum,Sidonie Smith,Christi Merrill,Building Translation Networks at Michigan
Info,LSA:Hum,Dragomir Radev,Sidonie Smith,Building Translation Networks at Michigan
Engineer,Engineer,Jamie D. Phillips,Sara A. Pozzi,Neutron Detection for Cancer Therapy
Engineer,LSA:NatSci,Sara A. Pozzi,Thomas Schwarz,Neutron Detection for Cancer Therapy
Engineer,LSA:NatSci,Jamie D. Phillips,Thomas Schwarz,Neutron Detection for Cancer Therapy
LSA:NatSci,LSA:NatSci,Robert Denver,Haoxing Xu,Transient receptor potential cation channels in health
LSA:NatSci,LSI,Haoxing Xu,X.Z. Shawn Xu,Transient receptor potential cation channels in health
LSA:NatSci,LSI,Robert Denver,X.Z. Shawn Xu,Transient receptor potential cation channels in health
Engineer,PubHealth,Krista Wigginton,Carl F Marrs,Antibiotic Resistance Gene Degradation During Wastewater
Engineer,Engineer,Terese M. Olson,Krista Wigginton,Antibiotic Resistance Gene Degradation During Wastewater
Engineer,PubHealth,Terese M. Olson,Carl F Marrs,Antibiotic Resistance Gene Degradation During Wastewater
Engineer,Info,John Kieffer,Margaret Hedstrom,"Electronic Lab Notebook for Physical, Chemical &"
Engineer,Engineer,Hosagrahar V.  Jagadish,John Kieffer,"Electronic Lab Notebook for Physical, Chemical &"
Engineer,Info,Hosagrahar V.  Jagadish,Margaret Hedstrom,"Electronic Lab Notebook for Physical, Chemical &"
LSA:NatSci,PubHealth,Joel Blum,Joseph Dvonch,Mercury Biogeochemistry in Michigan Lakes
LSA:NatSci,LSA:NatSci,Knute Nadelhoffer,Joel Blum,Mercury Biogeochemistry in Michigan Lakes
LSA:NatSci,PubHealth,Knute Nadelhoffer,Joseph Dvonch,Mercury Biogeochemistry in Michigan Lakes
Engineer,Info,Emily  Mower Provost,Predrag  Klasnja,Using mobile technology to manage bipolar disorde
Info,Info,Paul Resnick,Predrag  Klasnja,Using mobile technology to manage bipolar disorde
Engineer,Info,Emily  Mower Provost,Paul Resnick,Using mobile technology to manage bipolar disorde
Engineer,LSA:NatSci,Steve Ceccio,Charlie Doering,Mechanism of Acoustic Droplet Vaporization
Engineer,LSA:NatSci,Bogdan Epureanu,Charlie Doering,Mechanism of Acoustic Droplet Vaporization
Engineer,Engineer,Bogdan Epureanu,Steve Ceccio,Mechanism of Acoustic Droplet Vaporization
LSA:NatSci,LSI,Jianzhi Zhang,Alexey Kondrashov,Transcriptome evolution
LSA:NatSci,LSA:NatSci,Stephen Smith,Jianzhi Zhang,Transcriptome evolution
LSA:NatSci,LSI,Stephen Smith,Alexey Kondrashov,Transcriptome evolution
Engineer,Engineer,Ronald G. Larson,Fei Wen,"All-in-one Detection of T cells - Specificity, Phenotype,"
Engineer,PubHealth,Fei Wen,Timothy Johnson,"All-in-one Detection of T cells - Specificity, Phenotype,"
Engineer,PubHealth,Ronald G. Larson,Timothy Johnson,"All-in-one Detection of T cells - Specificity, Phenotype,"
Business,Engineer,Izak Duenyas,Yavuz A. Bozer,Distribution Free Inventory Control For Supply Chains
Business,Engineer,Izak Duenyas,Cong Shi,Distribution Free Inventory Control For Supply Chains
Engineer,Engineer,Cong Shi,Yavuz A. Bozer,Distribution Free Inventory Control For Supply Chains
Engineer,Medicine,Lutgarde Raskin,John LiPuma,The Drinking Water Microbiome and Human Health
Engineer,PubHealth,Lutgarde Raskin,Chuanwu Xi,The Drinking Water Microbiome and Human Health
Medicine,PubHealth,John LiPuma,Chuanwu Xi,The Drinking Water Microbiome and Human Health
Medicine,Pharmacy,Sayoko Moroi,Steve Schwendeman,Novel drug delivery and treatments for glaucoma
LSA:NatSci,Medicine,Mark Meyerhoff,Sayoko Moroi,Novel drug delivery and treatments for glaucoma
LSA:NatSci,Pharmacy,Mark Meyerhoff,Steve Schwendeman,Novel drug delivery and treatments for glaucoma
Medicine,Medicine,James (Jim) Montie,John Hollingsworth,Impact of Physician Social Networks on Prostate Cancer
LSA:SocSci,Medicine,Jason Owen-Smith,John Hollingsworth,Impact of Physician Social Networks on Prostate Cancer
LSA:SocSci,Medicine,Jason Owen-Smith,James (Jim) Montie,Impact of Physician Social Networks on Prostate Cancer
LSA:SocSci,LSA:SocSci,Pauline Luong,Brian Min,Using satellite data to study how variation in energy
Engineer,LSA:SocSci,Rajesh Rao Nadakuditi,Brian Min,Using satellite data to study how variation in energy
Engineer,LSA:SocSci,Rajesh Rao Nadakuditi,Pauline Luong,Using satellite data to study how variation in energy
Engineer,Info,Atul Prakash,Mark Ackerman,Infrastructure for Context-Aware Computing
Info,Info,Mark Newman,Mark Ackerman,Infrastructure for Context-Aware Computing
Engineer,Info,Atul Prakash,Mark Newman,Infrastructure for Context-Aware Computing
Engineer,PubHealth,Christian M. Lastoskie,Rudy J. Richardson,Dysfunction of Dinitrobenzene-Bound Mitochondrial
Engineer,PubHealth,Christian M. Lastoskie,Martin Philbert,Dysfunction of Dinitrobenzene-Bound Mitochondrial
PubHealth,PubHealth,Martin Philbert,Rudy J. Richardson,Dysfunction of Dinitrobenzene-Bound Mitochondrial
LSA:NatSci,LSA:NatSci,Janine Maddock,Brandon Ruotolo,Weighing Individual Ribosomes: Developing Structural
LSA:NatSci,Medicine,Brandon Ruotolo,Philip Andrews,Weighing Individual Ribosomes: Developing Structural
LSA:NatSci,Medicine,Janine Maddock,Philip Andrews,Weighing Individual Ribosomes: Developing Structural
NatResEnv,PubHealth,Johannes Foufopoulos,Joseph Eisenberg,Effects of land management on interspecies transmission
NatResEnv,PubHealth,Rebecca Hardin,Joseph Eisenberg,Effects of land management on interspecies transmission
NatResEnv,NatResEnv,Rebecca Hardin,Johannes Foufopoulos,Effects of land management on interspecies transmission
Medicine,Medicine,Frank (Jake) Seagull,Rishindra Reddy,Improving Resident Rotation Scheduling to Maximize
Engineer,Medicine,Amy Cohn,Rishindra Reddy,Improving Resident Rotation Scheduling to Maximize
Engineer,Medicine,Amy Cohn,Frank (Jake) Seagull,Improving Resident Rotation Scheduling to Maximize
Engineer,Medicine,Brian J. Love,Roni Shtein,Characterizing the efficacy of corneal crosslinking
Engineer,LSA:NatSci,Brian J. Love,Anne McNeil,Characterizing the efficacy of corneal crosslinking
LSA:NatSci,Medicine,Anne McNeil,Roni Shtein,Characterizing the efficacy of corneal crosslinking
Medicine,Medicine,Lisa Harris,Raymond De Vries,The making of a physician: the moral aspects of premedical
LSA:SocSci,Medicine,Renee Anspach,Raymond De Vries,The making of a physician: the moral aspects of premedical
LSA:SocSci,Medicine,Renee Anspach,Lisa Harris,The making of a physician: the moral aspects of premedical
LSI,Medicine,John K. Kim,Gary  Hammer,MicroRNA regulation in adrenocortical disease
Medicine,Medicine,Thomas Giordano,Gary  Hammer,MicroRNA regulation in adrenocortical disease
LSI,Medicine,John K. Kim,Thomas Giordano,MicroRNA regulation in adrenocortical disease
Libraries,Libraries,Justin Joque,Sigrid Cordell,Using the Digital to Read Literary Texts in Contex
LSA:Hum,Libraries,June Howard,Sigrid Cordell,Using the Digital to Read Literary Texts in Contex
LSA:Hum,Libraries,June Howard,Justin Joque,Using the Digital to Read Literary Texts in Contex
Business,LSA:SocSci,Fred Feinberg,Elizabeth Bruch,"Dyadic Bayesian Discrete Choice Models, applied to"
Business,Engineer,Fred Feinberg,Panos Papalambros,"Dyadic Bayesian Discrete Choice Models, applied to"
Engineer,LSA:SocSci,Panos Papalambros,Elizabeth Bruch,"Dyadic Bayesian Discrete Choice Models, applied to"
Pharmacy,Pharmacy,Anna Schwendeman,James Moon,Therapeutic application of synthetic HDL for treatment
Medicine,Pharmacy,Mariana Kaplan,James Moon,Therapeutic application of synthetic HDL for treatment
Medicine,Pharmacy,Mariana Kaplan,Anna Schwendeman,Therapeutic application of synthetic HDL for treatment
ArchUrban,Engineer,Sean Ahlquist,Anthony M. Waas,Mechanical Properties and Computational Methods for
ArchUrban,Engineer,Sean Ahlquist,Georg Essl,Mechanical Properties and Computational Methods for
Engineer,Engineer,Georg Essl,Anthony M. Waas,Mechanical Properties and Computational Methods for
LSA:NatSci,LSA:NatSci,Katherine Freese,David Gerdes,Dark Matter Detectors
Engineer,LSA:NatSci,Rachel S.  Goldman,David Gerdes,Dark Matter Detectors
Engineer,LSA:NatSci,Rachel S.  Goldman,Katherine Freese,Dark Matter Detectors
Engineer,Engineer,Benjamin Longmier,Juan Manuel Rivas Davila,COOL-Plasma: Efficient cold-plasma generation for
Engineer,PubHealth,Juan Manuel Rivas Davila,Alexander Rickard,COOL-Plasma: Efficient cold-plasma generation for
Engineer,PubHealth,Benjamin Longmier,Alexander Rickard,COOL-Plasma: Efficient cold-plasma generation for
Engineer,Medicine,Ellen Arruda,Asheesh Bedi,Understanding ACL Strain Patterns
Kines,Medicine,Scott McLean,Asheesh Bedi,Understanding ACL Strain Patterns
Engineer,Kines,Ellen Arruda,Scott McLean,Understanding ACL Strain Patterns
Medicine,PubHealth,Suzanne Dooley-Hash,Daniel Eisenberg,Research Hub on College Student Mental Health
Medicine,PubHealth,Kelli Hall,Daniel Eisenberg,Research Hub on College Student Mental Health
Medicine,Medicine,Kelli Hall,Suzanne Dooley-Hash,Research Hub on College Student Mental Health
LSI,Medicine,Lois Weisman,James Dowling,"Self eating, PIPs, and muscle disease"
Medicine,Medicine,Daniel Klionsky,James Dowling,"Self eating, PIPs, and muscle disease"
LSI,Medicine,Lois Weisman,Daniel Klionsky,"Self eating, PIPs, and muscle disease"
LSA:NatSci,Medicine,Yanzhuang Wang,Geoffrey Murphy,Membrane and synaptic  dynamics in Alzheimer's disease
Medicine,Medicine,Henry Paulson,Geoffrey Murphy,Membrane and synaptic  dynamics in Alzheimer's disease
LSA:NatSci,Medicine,Yanzhuang Wang,Henry Paulson,Membrane and synaptic  dynamics in Alzheimer's disease
Medicine,Medicine,Sandra Camelo-Piragua,Jean-Francois (jeff) Rual,CHARACTERIZATION OF THE NOTCH MOLECULAR NETWORK IN
LSI,Medicine,Cheng-Yu Lee,Jean-Francois (jeff) Rual,CHARACTERIZATION OF THE NOTCH MOLECULAR NETWORK IN
LSI,Medicine,Cheng-Yu Lee,Sandra Camelo-Piragua,CHARACTERIZATION OF THE NOTCH MOLECULAR NETWORK IN
Business,Engineer,Hyun-Soo Ahn,Eunshin Byon,Project Incentive Design Toward an Integrated  Sector
Business,Engineer,Hyun-Soo Ahn,Xiuli Chao,Project Incentive Design Toward an Integrated  Sector
Engineer,Engineer,Xiuli Chao,Eunshin Byon,Project Incentive Design Toward an Integrated  Sector
Medicine,OVPR,Paul Carson,Luis Hernandez-Garcia,Focused ultrasound release of encapsulated drugs and
Engineer,Medicine,Joseph L. Bull,Paul Carson,Focused ultrasound release of encapsulated drugs and
Engineer,OVPR,Joseph L. Bull,Luis Hernandez-Garcia,Focused ultrasound release of encapsulated drugs and
Engineer,Engineer,SangHyun Lee,Vineet Kamat,Virtual Prototyping of Human-Robot Collaboration in
Engineer,Info,Vineet Kamat,Lionel  Robert,Virtual Prototyping of Human-Robot Collaboration in
Engineer,Info,SangHyun Lee,Lionel  Robert,Virtual Prototyping of Human-Robot Collaboration in
Engineer,NatResEnv,Margaret  Wooldridge,Raymond De Young,Urgent transitions: Responding to emerging biophysical
NatResEnv,NatResEnv,Thomas Princen,Raymond De Young,Urgent transitions: Responding to emerging biophysical
Engineer,NatResEnv,Margaret  Wooldridge,Thomas Princen,Urgent transitions: Responding to emerging biophysical
ISR,LSA:SocSci,Frederick Conrad,Joshua Pasek,Linking Social Media and Surveys: Processes and Tool
Info,LSA:SocSci,Clifford Lampe,Joshua Pasek,Linking Social Media and Surveys: Processes and Tool
ISR,Info,Frederick Conrad,Clifford Lampe,Linking Social Media and Surveys: Processes and Tool
Engineer,Engineer,David Dowling,Eric Johnsen,Ultrasound-Induced Pulmonary Hemorrhage During Diagnostic
Engineer,Medicine,Eric Johnsen,Douglas Miller,Ultrasound-Induced Pulmonary Hemorrhage During Diagnostic
Engineer,Medicine,David Dowling,Douglas Miller,Ultrasound-Induced Pulmonary Hemorrhage During Diagnostic
Medicine,Medicine,Denise John,Joshua  Stein,A Novel Glaucoma Drainage Device
Engineer,Medicine,Yogesh Gianchandani,Joshua  Stein,A Novel Glaucoma Drainage Device
Engineer,Medicine,Yogesh Gianchandani,Denise John,A Novel Glaucoma Drainage Device
Medicine,PubHealth,Emily Fredericks,Kenneth Resnicow,Incorporating Tailored Adherence Assessment and Promotion
Medicine,Medicine,Michelle Meade,Emily Fredericks,Incorporating Tailored Adherence Assessment and Promotion
Medicine,PubHealth,Michelle Meade,Kenneth Resnicow,Incorporating Tailored Adherence Assessment and Promotion
Dentistry,Medicine,Petros Papagerakis,Maureen Sartor,Novel insights in the causes and treatment of autoimmune
Dentistry,Medicine,Petros Papagerakis,Emily Somers,Novel insights in the causes and treatment of autoimmune
Medicine,Medicine,Emily Somers,Maureen Sartor,Novel insights in the causes and treatment of autoimmune
Dentistry,LSA:NatSci,Yvonne L. Kapila,A. Ramamoorthy,Antimicrobial Peptides as Anticancer Agents
Dentistry,Medicine,Yvonne L. Kapila,Frank Worden,Antimicrobial Peptides as Anticancer Agents
LSA:NatSci,Medicine,A. Ramamoorthy,Frank Worden,Antimicrobial Peptides as Anticancer Agents
LSA:NatSci,LSA:NatSci,Rick Riolo,Carl Simon,Modeling the Spread of Crime
LSA:NatSci,NatResEnv,Carl Simon,Bobbi Low,Modeling the Spread of Crime
LSA:NatSci,NatResEnv,Rick Riolo,Bobbi Low,Modeling the Spread of Crime
Engineer,Medicine,Brian Denton,Scott Tomlins,Measuring the Costs and Benefits of New Biomarkers
Engineer,Medicine,Brian Denton,John Wei,Measuring the Costs and Benefits of New Biomarkers
Medicine,Medicine,John Wei,Scott Tomlins,Measuring the Costs and Benefits of New Biomarkers
ISR,NatResEnv,Natalie Colabianchi,Daniel G. Brown,Environments and Activity: GPS-Based Collection of
ISR,PubHealth,Natalie Colabianchi,Ana V Diez Roux,Environments and Activity: GPS-Based Collection of
NatResEnv,PubHealth,Daniel G. Brown,Ana V Diez Roux,Environments and Activity: GPS-Based Collection of
LSA:NatSci,Pharmacy,Carol Fierke,David Sherman,Discovery of Natural Products for Probing the Structure
LSA:NatSci,LSA:NatSci,Hashim Al-Hashimi,Carol Fierke,Discovery of Natural Products for Probing the Structure
LSA:NatSci,Pharmacy,Hashim Al-Hashimi,David Sherman,Discovery of Natural Products for Probing the Structure
Engineer,Medicine,Albert Shih,Steven Kasten,Manufacturing Designer Free Flaps Utilizing a Stem
Engineer,Engineer,Chinedum Okwudire,Albert Shih,Manufacturing Designer Free Flaps Utilizing a Stem
Engineer,Medicine,Chinedum Okwudire,Steven Kasten,Manufacturing Designer Free Flaps Utilizing a Stem
LSA:SocSci,Medicine,Twila Tardif,Kate Fitzgerald,Emotion Regulation in the Brain
LSA:SocSci,LSA:SocSci,William Gehring,Twila Tardif,Emotion Regulation in the Brain
LSA:SocSci,Medicine,William Gehring,Kate Fitzgerald,Emotion Regulation in the Brain
Medicine,Medicine,Steven Buchman,Stewart Wang,Novel imaging technologies for early detection of
LSA:NatSci,Medicine,Michael Morris,Stewart Wang,Novel imaging technologies for early detection of
LSA:NatSci,Medicine,Michael Morris,Steven Buchman,Novel imaging technologies for early detection of
Engineer,Medicine,Ariella Shikanov,Akira Ono,Understanding HIV: How cell-to-cell virus transmission
Medicine,Medicine,Kathleen Collins,Akira Ono,Understanding HIV: How cell-to-cell virus transmission
Engineer,Medicine,Ariella Shikanov,Kathleen Collins,Understanding HIV: How cell-to-cell virus transmission
Medicine,PubHealth,Richard Auchus,Daniel McConnell,Marker steroids in primary aldosteronism
Medicine,Medicine,Elif Oral,Richard Auchus,Marker steroids in primary aldosteronism
Medicine,PubHealth,Elif Oral,Daniel McConnell,Marker steroids in primary aldosteronism
Medicine,Medicine,Victor Elner,Amr Sawalha,A genome-wide DNA methylation study in giant cell
Medicine,PubHealth,Amr Sawalha,Bin Nan,A genome-wide DNA methylation study in giant cell
Medicine,PubHealth,Victor Elner,Bin Nan,A genome-wide DNA methylation study in giant cell
LSA:NatSci,NatResEnv,John Vandermeer,Ivette Perfecto,Urban Gardens: constrained auto-generation of spatial
ArchUrban,NatResEnv,Lesli Hoey,Ivette Perfecto,Urban Gardens: constrained auto-generation of spatial
ArchUrban,LSA:NatSci,Lesli Hoey,John Vandermeer,Urban Gardens: constrained auto-generation of spatial
